         2450950 function calls (2348848 primitive calls) in 1.417 seconds

   Ordered by: cumulative time
   List reduced from 380 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       13    0.000    0.000    1.475    0.113 base_events.py:1922(_run_once)
       77    0.000    0.000    1.474    0.019 events.py:86(_run)
       77    0.001    0.000    1.474    0.019 {method 'run' of '_contextvars.Context' objects}
       32    0.004    0.000    1.442    0.045 node_executor.py:274(worker)
     2000    0.006    0.000    1.435    0.001 node_executor.py:236(run_unit)
     2000    0.003    0.000    1.424    0.001 node_executor.py:322(_call)
     2000    0.008    0.000    1.421    0.001 node_executor.py:348(_call_once)
     2000    0.019    0.000    1.405    0.001 node_executor.py:386(_call_once_admitted)
     4002    0.024    0.000    1.263    0.000 workflow_executor.py:246(emit)
     4006    0.018    0.000    1.240    0.000 app.py:1749(_emit)
     4006    0.027    0.000    1.168    0.000 repository.py:52(commit)
     4006    0.007    0.000    0.782    0.000 reducer.py:14(apply)
     4006    0.012    0.000    0.759    0.000 operations.py:390(apply_runtime_delta)
76039/18016    0.087    0.000    0.517    0.000 operations.py:334(apply)
    26022    0.311    0.000    0.434    0.000 operations.py:319(__init__)
26022/4006    0.054    0.000    0.207    0.000 operations.py:375(finish)
     4006    0.035    0.000    0.189    0.000 transitions.py:35(plan)
    26037    0.104    0.000    0.183    0.000 dataclasses.py:1540(replace)
     8012    0.042    0.000    0.101    0.000 events.py:767(validate_payload)
    28031    0.054    0.000    0.093    0.000 dataclasses.py:1278(fields)
   470415    0.057    0.000    0.077    0.000 {built-in method builtins.isinstance}
     4006    0.016    0.000    0.071    0.000 events.py:420(__post_init__)
   498556    0.056    0.000    0.056    0.000 {built-in method builtins.getattr}
     4009    0.005    0.000    0.052    0.000 values.py:80(freeze)
14009/4006    0.026    0.000    0.047    0.000 values.py:91(_freeze)
    12018    0.008    0.000    0.044    0.000 repository.py:90(_settle_pending)
     6007    0.008    0.000    0.042    0.000 uuid.py:723(uuid4)
     4006    0.004    0.000    0.036    0.000 events.py:417(<lambda>)
     4005    0.023    0.000    0.033    0.000 _execution_index.py:40(advance)
     4006    0.004    0.000    0.032    0.000 operations.py:85(__post_init__)
    18016    0.011    0.000    0.031    0.000 transitions.py:39(put)
   252216    0.030    0.000    0.030    0.000 dataclasses.py:1293(<genexpr>)
     4008    0.004    0.000    0.028    0.000 {built-in method builtins.all}
     6000    0.006    0.000    0.027    0.000 contract.py:169(_to_record_validated)
     2000    0.004    0.000    0.026    0.000 node_executor.py:422(invoke_and_validate)
     2001    0.004    0.000    0.026    0.000 transitions.py:43(workspace)
     4006    0.006    0.000    0.025    0.000 app.py:1916(_settle_runtime_commits)
        3    0.001    0.000    0.025    0.008 workflow_executor.py:239(_execute_occurrence)
    22022    0.023    0.000    0.024    0.000 operations.py:86(<genexpr>)
     2000    0.003    0.000    0.024    0.000 <string>:2(__init__)


         2450950 function calls (2348848 primitive calls) in 1.417 seconds

   Ordered by: internal time
   List reduced from 380 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    26022    0.311    0.000    0.434    0.000 operations.py:319(__init__)
    26037    0.104    0.000    0.183    0.000 dataclasses.py:1540(replace)
76039/18016    0.087    0.000    0.517    0.000 operations.py:334(apply)
   470415    0.057    0.000    0.077    0.000 {built-in method builtins.isinstance}
   498556    0.056    0.000    0.056    0.000 {built-in method builtins.getattr}
26022/4006    0.054    0.000    0.207    0.000 operations.py:375(finish)
    28031    0.054    0.000    0.093    0.000 dataclasses.py:1278(fields)
     8012    0.042    0.000    0.101    0.000 events.py:767(validate_payload)
     4006    0.035    0.000    0.189    0.000 transitions.py:35(plan)
   252216    0.030    0.000    0.030    0.000 dataclasses.py:1293(<genexpr>)
     4006    0.027    0.000    1.168    0.000 repository.py:52(commit)
14009/4006    0.026    0.000    0.047    0.000 values.py:91(_freeze)
     4002    0.024    0.000    1.263    0.000 workflow_executor.py:246(emit)
     4005    0.023    0.000    0.033    0.000 _execution_index.py:40(advance)
    22022    0.023    0.000    0.024    0.000 operations.py:86(<genexpr>)
     2000    0.019    0.000    1.405    0.001 node_executor.py:386(_call_once_admitted)
     4006    0.018    0.000    1.240    0.000 app.py:1749(_emit)
     6007    0.017    0.000    0.022    0.000 uuid.py:139(__init__)
     4006    0.016    0.000    0.071    0.000 events.py:420(__post_init__)
    72052    0.014    0.000    0.014    0.000 {method 'endswith' of 'str' objects}
    18016    0.014    0.000    0.017    0.000 operations.py:45(_from_owned)
     6007    0.012    0.000    0.012    0.000 {built-in method posix.urandom}
     4006    0.012    0.000    0.759    0.000 operations.py:390(apply_runtime_delta)
    26022    0.011    0.000    0.017    0.000 dataclasses.py:1301(is_dataclass)
    18016    0.011    0.000    0.031    0.000 transitions.py:39(put)
12000/6000    0.011    0.000    0.012    0.000 contract.py:213(_validate_json_record)
    54070    0.009    0.000    0.009    0.000 {method 'values' of 'dict' objects}
    50084    0.009    0.000    0.009    0.000 {method 'add' of 'set' objects}
     6007    0.008    0.000    0.008    0.000 uuid.py:280(__str__)
    12018    0.008    0.000    0.044    0.000 repository.py:90(_settle_pending)


